Cc,13,1.34346065,144.38
C8,12,4.8576675,144.49
C7,12,4.857667,144.49
C9,13,0.57576885,144.68
Ca,13,0.7676918,144.95
Cb,13,1.1515377,145.11
C5,11,4.096184,145.49
C6,11,4.096184,146.04
C0,13,0.3754068,146.17
AZ,12,4.154309,146.56
C1,13,0.5005424,146.58
AY,12,4.154309,146.82
AW,11,4.096184,148.86
AG,11,2.730744,148.92
AQ,16,15,150
AH,11,2.7307,150.37
AX,11,4.096184,150.66
AF,15,12,155
